bridge_id,domain,type,source_cluster,target_cluster,shared_entities (top 8),shared_count,bridge_score,novelty (1-5),feasibility (1-5),overall_interest (1-5),relevance (0/1),notes
B01,amr,cross,C4: global burden/epidemiology/ESKAPE,C5: mobile genetic elements/nosocomial,"surveillance, states, united, epidemiology, eskape, hospitals, society, america",19,0.2111,,,,,
B02,amr,cross,C0: pathogen-specific resistance (Acinetobacter/Pseudomonas/plasmids),C2: AMR in specific organisms (Neisseria/Streptococcus/food chain),"drug, biofilms, biofilm, multidrug, therapeutic, dna, gram-negative, evolution",32,0.1939,,,,,
B03,amr,cross,C0: pathogen-specific resistance (Acinetobacter/Pseudomonas/plasmids),C4: global burden/epidemiology/ESKAPE,"klebsiella, escherichia, escherichia coli, global, salmonella, lactamases, gram-negative, extended-spectrum",22,0.1913,,,,,
B04,amr,cross,C1: AMR omics/sequencing/diagnostics,C4: global burden/epidemiology/ESKAPE,"disease, diseases, global, infectious, society, care, covid, covid-19",30,0.1875,,,,,
B05,amr,cross,C0: pathogen-specific resistance (Acinetobacter/Pseudomonas/plasmids),C3: AMR mechanisms (genetic/molecular),"pseudomonas, acinetobacter, escherichia, escherichia coli, evolution, multidrug, efflux, microbial",23,0.1565,,,,,
B06,amr,cross,C3: AMR mechanisms (genetic/molecular),C4: global burden/epidemiology/ESKAPE,"global, use, escherichia, escherichia coli, pathogens, implications, lactamases, european",20,0.1481,,,,,
B07,amr,cross,C2: AMR in specific organisms (Neisseria/Streptococcus/food chain),C3: AMR mechanisms (genetic/molecular),"drug-resistant, resistant, transfer, multidrug, potential, agents, overview, gram-negative",24,0.1257,,,,,
B08,amr,cross,C1: AMR omics/sequencing/diagnostics,C5: mobile genetic elements/nosocomial,"guidelines, diagnosis, society, management, america, adults, infection, states",19,0.1203,,,,,
B09,amr,cross,C0: pathogen-specific resistance (Acinetobacter/Pseudomonas/plasmids),C5: mobile genetic elements/nosocomial,"antibiotic, antibiotics, antimicrobial, bacteria, clinical, emergence, epidemiology, human",13,0.1171,,,,,
B10,amr,cross,C1: AMR omics/sequencing/diagnostics,C2: AMR in specific organisms (Neisseria/Streptococcus/food chain),"cancer, therapeutic, microbiome, effects, management, role, therapy, treatment",25,0.1111,,,,,
B11,neuroscience,cross,C9: dendritic spines / hippocampal structural plasticity,C10: excitatory amino acid receptors / cholinergic,"ca1, ltp, synaptic, hippocampal, long-term, rat, memory",7,0.28,,,,,
B12,neuroscience,cross,C1: synaptic plasticity fundamentals,C2: nitric oxide / redox signaling,"long-term, synaptic, plasticity, hippocampal, memory, role, receptor, receptors",30,0.2752,,,,,
B13,neuroscience,cross,C9: dendritic spines / hippocampal structural plasticity,C11: CREB / norepinephrine / addiction & reward,"nmda, memory, ca1, ltp, receptor, hippocampus",6,0.2727,,,,,
B14,neuroscience,cross,C2: nitric oxide / redox signaling,C5: BDNF / exercise / adult neurogenesis,"potentiation, long-term, hippocampal, factor, depression, brain-derived, rat, neurotrophic",25,0.2604,,,,,
B15,neuroscience,cross,C1: synaptic plasticity fundamentals,C5: BDNF / exercise / adult neurogenesis,"plasticity, bdnf, synaptic, neuronal, hippocampal, memory, adult, regulation",23,0.2473,,,,,
B16,neuroscience,cross,C2: nitric oxide / redox signaling,C8: NMDA receptors / receptor trafficking / sensitization,"nmda, receptor, induction, hippocampal, glutamate, ampa, receptors, ltp",19,0.2405,,,,,
B17,neuroscience,cross,C8: NMDA receptors / receptor trafficking / sensitization,C10: excitatory amino acid receptors / cholinergic,"ltp, camkii, postsynaptic, ca1, synapses, rat, synaptic, hippocampal",8,0.2286,,,,,
B18,neuroscience,cross,C8: NMDA receptors / receptor trafficking / sensitization,C9: dendritic spines / hippocampal structural plasticity,"nmda, ltp, receptor, rat, ca1, synaptic, hippocampal",7,0.2059,,,,,
B19,neuroscience,cross,C8: NMDA receptors / receptor trafficking / sensitization,C14: AMPA receptor trafficking / CaMKII,"ampa, receptor, interaction, receptors, synapses, synaptic, hippocampal",7,0.2059,,,,,
